"State_County","cnty_pop_mean","State","STATE_FIPS","CNTY_FIPS","COUNTY","FIPS","FIPS2"
"AK_Aleutians West Census Area",30.304347826087,"AK","02","016","Aleutians West Census Area","02016","f02016"
"AK_Anchorage Municipality",23.2173913043478,"AK","02","020","Anchorage Municipality","02020","f02020"
"AK_Fairbanks North Star Borough",47.695652173913,"AK","02","090","Fairbanks North Star Borough","02090","f02090"
"AK_Nome Census Area",96,"AK","02","180","Nome Census Area","02180","f02180"
"AK_Southeast Fairbanks Census Area",61.2173913043478,"AK","02","240","Southeast Fairbanks Census Area","02240","f02240"
"AK_Yukon-Koyukuk Census Area",9.08695652173913,"AK","02","290","Yukon-Koyukuk Census Area","02290","f02290"
"AR_Benton",6.52173913043478,"AR","05","007","Benton ","05007","f05007"
"AR_Garland",108.695652173913,"AR","05","051","Garland ","05051","f05051"
"AR_Randolph",1.30434782608696,"AR","05","121","Randolph ","05121","f05121"
"AZ_Apache",2.95652173913043,"AZ","04","001","Apache ","04001","f04001"
"AZ_Cochise",407.782608695652,"AZ","04","003","Cochise ","04003","f04003"
"AZ_Gila",53.0869565217391,"AZ","04","007","Gila ","04007","f04007"
"AZ_Graham",37.6521739130435,"AZ","04","009","Graham ","04009","f04009"
"AZ_Greenlee",9.56521739130435,"AZ","04","011","Greenlee ","04011","f04011"
"AZ_La Paz",116.130434782609,"AZ","04","012","La Paz ","04012","f04012"
"AZ_Maricopa",30402.652173913,"AZ","04","013","Maricopa ","04013","f04013"
"AZ_Mohave",2015.21739130435,"AZ","04","015","Mohave ","04015","f04015"
"AZ_Pima",141.04347826087,"AZ","04","019","Pima ","04019","f04019"
"AZ_Pinal",8460.26086956522,"AZ","04","021","Pinal ","04021","f04021"
"AZ_Santa Cruz",5.21739130434783,"AZ","04","023","Santa Cruz ","04023","f04023"
"AZ_Yavapai",621.652173913043,"AZ","04","025","Yavapai ","04025","f04025"
"AZ_Yuma",43.4782608695652,"AZ","04","027","Yuma ","04027","f04027"
"CA_Butte",55.4782608695652,"CA","06","007","Butte ","06007","f06007"
"CA_Contra Costa",22.6086956521739,"CA","06","013","Contra Costa ","06013","f06013"
"CA_Fresno",23652.1739130435,"CA","06","019","Fresno ","06019","f06019"
"CA_Glenn",1.52173913043478,"CA","06","021","Glenn ","06021","f06021"
"CA_Inyo",21.7391304347826,"CA","06","027","Inyo ","06027","f06027"
"CA_Kern",4354.26086956522,"CA","06","029","Kern ","06029","f06029"
"CA_Lake",12.3913043478261,"CA","06","033","Lake ","06033","f06033"
"CA_Lassen",15.2173913043478,"CA","06","035","Lassen ","06035","f06035"
"CA_Los Angeles",44907.4347826087,"CA","06","037","Los Angeles ","06037","f06037"
"CA_Madera",374,"CA","06","039","Madera ","06039","f06039"
"CA_Marin",52.1739130434783,"CA","06","041","Marin ","06041","f06041"
"CA_Mariposa",3.47826086956522,"CA","06","043","Mariposa ","06043","f06043"
"CA_Merced",172,"CA","06","047","Merced ","06047","f06047"
"CA_Monterey",10140.0434782609,"CA","06","053","Monterey ","06053","f06053"
"CA_Napa",26.0869565217391,"CA","06","055","Napa ","06055","f06055"
"CA_Orange",2943.47826086957,"CA","06","059","Orange ","06059","f06059"
"CA_Placer",26.0869565217391,"CA","06","061","Placer ","06061","f06061"
"CA_Plumas",3.26086956521739,"CA","06","063","Plumas ","06063","f06063"
"CA_Riverside",15364.347826087,"CA","06","065","Riverside ","06065","f06065"
"CA_Sacramento",7.60869565217391,"CA","06","067","Sacramento ","06067","f06067"
"CA_San Benito",2705.95652173913,"CA","06","069","San Benito ","06069","f06069"
"CA_San Bernardino",142.391304347826,"CA","06","071","San Bernardino ","06071","f06071"
"CA_San Diego",555.782608695652,"CA","06","073","San Diego ","06073","f06073"
"CA_San Joaquin",4150.65217391304,"CA","06","077","San Joaquin ","06077","f06077"
"CA_San Luis Obispo",1256.39130434783,"CA","06","079","San Luis Obispo ","06079","f06079"
"CA_San Mateo",194.739130434783,"CA","06","081","San Mateo ","06081","f06081"
"CA_Santa Barbara",8.91304347826087,"CA","06","083","Santa Barbara ","06083","f06083"
"CA_Santa Clara",98.5217391304348,"CA","06","085","Santa Clara ","06085","f06085"
"CA_Shasta",8.60869565217391,"CA","06","089","Shasta ","06089","f06089"
"CA_Siskiyou",48.0434782608696,"CA","06","093","Siskiyou ","06093","f06093"
"CA_Solano",126.260869565217,"CA","06","095","Solano ","06095","f06095"
"CA_Sonoma",26.7826086956522,"CA","06","097","Sonoma ","06097","f06097"
"CA_Stanislaus",22228.2173913043,"CA","06","099","Stanislaus ","06099","f06099"
"CA_Sutter",245.652173913043,"CA","06","101","Sutter ","06101","f06101"
"CA_Tehama",7.17391304347826,"CA","06","103","Tehama ","06103","f06103"
"CA_Tulare",4719.78260869565,"CA","06","107","Tulare ","06107","f06107"
"CA_Ventura",111.478260869565,"CA","06","111","Ventura ","06111","f06111"
"CA_Yolo",201.434782608696,"CA","06","113","Yolo ","06113","f06113"
"CO_Adams",24.6086956521739,"CO","08","001","Adams ","08001","f08001"
"CO_Arapahoe",0.739130434782609,"CO","08","005","Arapahoe ","08005","f08005"
"CO_Archuleta",5.17391304347826,"CO","08","007","Archuleta ","08007","f08007"
"CO_Boulder",8.26086956521739,"CO","08","013","Boulder ","08013","f08013"
"CO_Chaffee",47.0434782608696,"CO","08","015","Chaffee ","08015","f08015"
"CO_Cheyenne",43.9130434782609,"CO","08","017","Cheyenne ","08017","f08017"
"CO_Clear Creek",2.30434782608696,"CO","08","019","Clear Creek ","08019","f08019"
"CO_El Paso",857.347826086957,"CO","08","041","El Paso ","08041","f08041"
"CO_Fremont",2.17391304347826,"CO","08","043","Fremont ","08043","f08043"
"CO_Garfield",65.8695652173913,"CO","08","045","Garfield ","08045","f08045"
"CO_Gilpin",16.9565217391304,"CO","08","047","Gilpin ","08047","f08047"
"CO_Grand",10.8695652173913,"CO","08","049","Grand ","08049","f08049"
"CO_Jefferson",34.8260869565217,"CO","08","059","Jefferson ","08059","f08059"
"CO_Kiowa",14.7826086956522,"CO","08","061","Kiowa ","08061","f08061"
"CO_Kit Carson",841.434782608696,"CO","08","063","Kit Carson ","08063","f08063"
"CO_Lake",0,"CO","08","065","Lake ","08065","f08065"
"CO_Larimer",4.60869565217391,"CO","08","069","Larimer ","08069","f08069"
"CO_Lincoln",5.60869565217391,"CO","08","073","Lincoln ","08073","f08073"
"CO_Logan",35,"CO","08","075","Logan ","08075","f08075"
"CO_Morgan",232.173913043478,"CO","08","087","Morgan ","08087","f08087"
"CO_Otero",50.8260869565217,"CO","08","089","Otero ","08089","f08089"
"CO_Park",16.0434782608696,"CO","08","093","Park ","08093","f08093"
"CO_Pueblo",45.6521739130435,"CO","08","101","Pueblo ","08101","f08101"
"CO_Rio Blanco",4.34782608695652,"CO","08","103","Rio Blanco ","08103","f08103"
"CO_Rio Grande",19.8695652173913,"CO","08","105","Rio Grande ","08105","f08105"
"CO_Routt",2.69565217391304,"CO","08","107","Routt ","08107","f08107"
"CO_Sedgwick",13.8260869565217,"CO","08","115","Sedgwick ","08115","f08115"
"CO_Teller",146.130434782609,"CO","08","119","Teller ","08119","f08119"
"CO_Washington",20.4782608695652,"CO","08","121","Washington ","08121","f08121"
"CO_Weld",159.434782608696,"CO","08","123","Weld ","08123","f08123"
"CO_Yuma",65.8695652173913,"CO","08","125","Yuma ","08125","f08125"
"CT_Fairfield",60.3478260869565,"CT","09","001","Fairfield ","09001","f09001"
"CT_Hartford",6.82608695652174,"CT","09","003","Hartford ","09003","f09003"
"CT_Litchfield",19.7826086956522,"CT","09","005","Litchfield ","09005","f09005"
"CT_Middlesex",3.26086956521739,"CT","09","007","Middlesex ","09007","f09007"
"CT_New Haven",17.5652173913043,"CT","09","009","New Haven ","09009","f09009"
"CT_New London",49.5652173913044,"CT","09","011","New London ","09011","f09011"
"CT_Tolland",4.34782608695652,"CT","09","013","Tolland ","09013","f09013"
"CT_Windham",19.3478260869565,"CT","09","015","Windham ","09015","f09015"
"DE_Kent",628.347826086957,"DE","10","001","Kent ","10001","f10001"
"DE_New Castle",26.2608695652174,"DE","10","003","New Castle ","10003","f10003"
"DE_Sussex",2531.26086956522,"DE","10","005","Sussex ","10005","f10005"
"FL_Bradford",8.69565217391304,"FL","12","007","Bradford ","12007","f12007"
"FL_Brevard",3.26086956521739,"FL","12","009","Brevard ","12009","f12009"
"FL_Citrus",5.04347826086957,"FL","12","017","Citrus ","12017","f12017"
"FL_Columbia",1.08695652173913,"FL","12","023","Columbia ","12023","f12023"
"FL_Hardee",9.78260869565217,"FL","12","049","Hardee ","12049","f12049"
"FL_Highlands",3.56521739130435,"FL","12","055","Highlands ","12055","f12055"
"FL_Hillsborough",183.217391304348,"FL","12","057","Hillsborough ","12057","f12057"
"FL_Lafayette",31.6521739130435,"FL","12","067","Lafayette ","12067","f12067"
"FL_Lake",16.3478260869565,"FL","12","069","Lake ","12069","f12069"
"FL_Lee",3.69565217391304,"FL","12","071","Lee ","12071","f12071"
"FL_Marion",11.9565217391304,"FL","12","083","Marion ","12083","f12083"
"FL_Miami-Dade",14.7826086956522,"FL","12","086","Miami-Dade ","12086","f12086"
"FL_Orange",4.34782608695652,"FL","12","095","Orange ","12095","f12095"
"FL_Pasco",189.130434782609,"FL","12","101","Pasco ","12101","f12101"
"FL_Polk",47.6521739130435,"FL","12","105","Polk ","12105","f12105"
"FL_Suwannee",1.08695652173913,"FL","12","121","Suwannee ","12121","f12121"
"FL_Volusia",334.608695652174,"FL","12","127","Volusia ","12127","f12127"
"GA_Hall",4.65217391304348,"GA","13","139","Hall ","13139","f13139"
"GA_Jackson",8.69565217391304,"GA","13","157","Jackson ","13157","f13157"
"GA_Jefferson",15.2173913043478,"GA","13","163","Jefferson ","13163","f13163"
"GA_Macon",6.52173913043478,"GA","13","193","Macon ","13193","f13193"
"GA_Mitchell",2.52173913043478,"GA","13","205","Mitchell ","13205","f13205"
"GA_Randolph",47.4782608695652,"GA","13","243","Randolph ","13243","f13243"
"GA_White",7.43478260869565,"GA","13","311","White ","13311","f13311"
"IA_Allamakee",23.1304347826087,"IA","19","005","Allamakee ","19005","f19005"
"IA_Benton",111.260869565217,"IA","19","011","Benton ","19011","f19011"
"IA_Black Hawk",6240.21739130435,"IA","19","013","Black Hawk ","19013","f19013"
"IA_Bremer",123.565217391304,"IA","19","017","Bremer ","19017","f19017"
"IA_Buchanan",20.9565217391304,"IA","19","019","Buchanan ","19019","f19019"
"IA_Buena Vista",101.347826086957,"IA","19","021","Buena Vista ","19021","f19021"
"IA_Butler",24.3478260869565,"IA","19","023","Butler ","19023","f19023"
"IA_Carroll",23.1304347826087,"IA","19","027","Carroll ","19027","f19027"
"IA_Cass",141.04347826087,"IA","19","029","Cass ","19029","f19029"
"IA_Cerro Gordo",9.1304347826087,"IA","19","033","Cerro Gordo ","19033","f19033"
"IA_Chickasaw",27.1304347826087,"IA","19","037","Chickasaw ","19037","f19037"
"IA_Clay",131.739130434783,"IA","19","041","Clay ","19041","f19041"
"IA_Clayton",85.304347826087,"IA","19","043","Clayton ","19043","f19043"
"IA_Clinton",141.739130434783,"IA","19","045","Clinton ","19045","f19045"
"IA_Crawford",174.869565217391,"IA","19","047","Crawford ","19047","f19047"
"IA_Delaware",224.173913043478,"IA","19","055","Delaware ","19055","f19055"
"IA_Dubuque",448.739130434783,"IA","19","061","Dubuque ","19061","f19061"
"IA_Fayette",97.7391304347826,"IA","19","065","Fayette ","19065","f19065"
"IA_Floyd",4.8695652173913,"IA","19","067","Floyd ","19067","f19067"
"IA_Franklin",59.4782608695652,"IA","19","069","Franklin ","19069","f19069"
"IA_Guthrie",334.304347826087,"IA","19","077","Guthrie ","19077","f19077"
"IA_Hardin",17.8260869565217,"IA","19","083","Hardin ","19083","f19083"
"IA_Harrison",85.304347826087,"IA","19","085","Harrison ","19085","f19085"
"IA_Howard",64.9130434782609,"IA","19","089","Howard ","19089","f19089"
"IA_Humboldt",6.60869565217391,"IA","19","091","Humboldt ","19091","f19091"
"IA_Ida",266.478260869565,"IA","19","093","Ida ","19093","f19093"
"IA_Jackson",7.43478260869565,"IA","19","097","Jackson ","19097","f19097"
"IA_Jasper",73.0434782608696,"IA","19","099","Jasper ","19099","f19099"
"IA_Johnson",29.6086956521739,"IA","19","103","Johnson ","19103","f19103"
"IA_Jones",62.9130434782609,"IA","19","105","Jones ","19105","f19105"
"IA_Lee",74.8695652173913,"IA","19","111","Lee ","19111","f19111"
"IA_Linn",251.826086956522,"IA","19","113","Linn ","19113","f19113"
"IA_Louisa",9.82608695652174,"IA","19","115","Louisa ","19115","f19115"
"IA_Lyon",572.565217391304,"IA","19","119","Lyon ","19119","f19119"
"IA_Madison",1128.26086956522,"IA","19","121","Madison ","19121","f19121"
"IA_Mahaska",89.1304347826087,"IA","19","123","Mahaska ","19123","f19123"
"IA_Marshall",21.9565217391304,"IA","19","127","Marshall ","19127","f19127"
"IA_Mills",139.521739130435,"IA","19","129","Mills ","19129","f19129"
"IA_Mitchell",199.304347826087,"IA","19","131","Mitchell ","19131","f19131"
"IA_Monona",258.173913043478,"IA","19","133","Monona ","19133","f19133"
"IA_Muscatine",27.4347826086957,"IA","19","139","Muscatine ","19139","f19139"
"IA_O'Brien",2.43478260869565,"IA","19","141","O'Brien ","19141","f19141"
"IA_Page",488.782608695652,"IA","19","145","Page ","19145","f19145"
"IA_Palo Alto",41.1739130434783,"IA","19","147","Palo Alto ","19147","f19147"
"IA_Pocahontas",3.91304347826087,"IA","19","151","Pocahontas ","19151","f19151"
"IA_Pottawattamie",45.6521739130435,"IA","19","155","Pottawattamie ","19155","f19155"
"IA_Sac",97.0869565217391,"IA","19","161","Sac ","19161","f19161"
"IA_Scott",78.0434782608696,"IA","19","163","Scott ","19163","f19163"
"IA_Sioux",583.304347826087,"IA","19","167","Sioux ","19167","f19167"
"IA_Van Buren",57.7391304347826,"IA","19","177","Van Buren ","19177","f19177"
"IA_Warren",5.69565217391304,"IA","19","181","Warren ","19181","f19181"
"IA_Winneshiek",43.0434782608696,"IA","19","191","Winneshiek ","19191","f19191"
"IA_Woodbury",290.434782608696,"IA","19","193","Woodbury ","19193","f19193"
"IA_Wright",4.34782608695652,"IA","19","197","Wright ","19197","f19197"
"ID_Ada",26.5217391304348,"ID","16","001","Ada ","16001","f16001"
"ID_Bannock",7.8695652173913,"ID","16","005","Bannock ","16005","f16005"
"ID_Bingham",120,"ID","16","011","Bingham ","16011","f16011"
"ID_Boise",25.8695652173913,"ID","16","015","Boise ","16015","f16015"
"ID_Canyon",114.130434782609,"ID","16","027","Canyon ","16027","f16027"
"ID_Caribou",11.0434782608696,"ID","16","029","Caribou ","16029","f16029"
"ID_Cassia",43.0869565217391,"ID","16","031","Cassia ","16031","f16031"
"ID_Elmore",565.217391304348,"ID","16","039","Elmore ","16039","f16039"
"ID_Franklin",11.0869565217391,"ID","16","041","Franklin ","16041","f16041"
"ID_Fremont",245.434782608696,"ID","16","043","Fremont ","16043","f16043"
"ID_Kootenai",1.52173913043478,"ID","16","055","Kootenai ","16055","f16055"
"ID_Latah",0.0869565217391304,"ID","16","057","Latah ","16057","f16057"
"ID_Lincoln",0,"ID","16","063","Lincoln ","16063","f16063"
"ID_Madison",7.17391304347826,"ID","16","065","Madison ","16065","f16065"
"ID_Nez Perce",25.4782608695652,"ID","16","069","Nez Perce ","16069","f16069"
"ID_Owyhee",39.8260869565217,"ID","16","073","Owyhee ","16073","f16073"
"ID_Payette",0,"ID","16","075","Payette ","16075","f16075"
"ID_Twin Falls",24.3478260869565,"ID","16","083","Twin Falls ","16083","f16083"
"ID_Washington",7.47826086956522,"ID","16","087","Washington ","16087","f16087"
"IL_Adams",129.565217391304,"IL","17","001","Adams ","17001","f17001"
"IL_Boone",13.0434782608696,"IL","17","007","Boone ","17007","f17007"
"IL_Bureau",4.65217391304348,"IL","17","011","Bureau ","17011","f17011"
"IL_Carroll",95.6521739130435,"IL","17","015","Carroll ","17015","f17015"
"IL_Clinton",177.391304347826,"IL","17","027","Clinton ","17027","f17027"
"IL_Coles",6.52173913043478,"IL","17","029","Coles ","17029","f17029"
"IL_Crawford",48.1739130434783,"IL","17","033","Crawford ","17033","f17033"
"IL_Edgar",394.652173913043,"IL","17","045","Edgar ","17045","f17045"
"IL_Fulton",6.95652173913043,"IL","17","057","Fulton ","17057","f17057"
"IL_Greene",126.086956521739,"IL","17","061","Greene ","17061","f17061"
"IL_Henderson",22.9130434782609,"IL","17","071","Henderson ","17071","f17071"
"IL_Henry",8.26086956521739,"IL","17","073","Henry ","17073","f17073"
"IL_Jo Daviess",13.0434782608696,"IL","17","085","Jo Daviess ","17085","f17085"
"IL_Kane",21.7391304347826,"IL","17","089","Kane ","17089","f17089"
"IL_Kendall",1.08695652173913,"IL","17","093","Kendall ","17093","f17093"
"IL_LaSalle",14.5217391304348,"IL","17","099","LaSalle ","17099","f17099"
"IL_Lawrence",1290.82608695652,"IL","17","101","Lawrence ","17101","f17101"
"IL_Lee",25.6521739130435,"IL","17","103","Lee ","17103","f17103"
"IL_Logan",134.434782608696,"IL","17","107","Logan ","17107","f17107"
"IL_Macon",21944.7826086957,"IL","17","115","Macon ","17115","f17115"
"IL_Madison",4.34782608695652,"IL","17","119","Madison ","17119","f17119"
"IL_Marshall",24.7826086956522,"IL","17","123","Marshall ","17123","f17123"
"IL_Mason",101.217391304348,"IL","17","125","Mason ","17125","f17125"
"IL_McDonough",4.78260869565217,"IL","17","109","McDonough ","17109","f17109"
"IL_McHenry",10.8695652173913,"IL","17","111","McHenry ","17111","f17111"
"IL_Mercer",56.5217391304348,"IL","17","131","Mercer ","17131","f17131"
"IL_Monroe",34.1304347826087,"IL","17","133","Monroe ","17133","f17133"
"IL_Ogle",64.1304347826087,"IL","17","141","Ogle ","17141","f17141"
"IL_Peoria",146.347826086957,"IL","17","143","Peoria ","17143","f17143"
"IL_Pike",114.608695652174,"IL","17","149","Pike ","17149","f17149"
"IL_Putnam",10.8695652173913,"IL","17","155","Putnam ","17155","f17155"
"IL_Rock Island",8.69565217391304,"IL","17","161","Rock Island ","17161","f17161"
"IL_Shelby",3.47826086956522,"IL","17","173","Shelby ","17173","f17173"
"IL_Stephenson",1.34782608695652,"IL","17","177","Stephenson ","17177","f17177"
"IL_Tazewell",59.1304347826087,"IL","17","179","Tazewell ","17179","f17179"
"IL_Vermilion",8835.13043478261,"IL","17","183","Vermilion ","17183","f17183"
"IL_Warren",86,"IL","17","187","Warren ","17187","f17187"
"IL_Whiteside",119.130434782609,"IL","17","195","Whiteside ","17195","f17195"
"IL_Winnebago",78.9565217391304,"IL","17","201","Winnebago ","17201","f17201"
"IN_Adams",1.08695652173913,"IN","18","001","Adams ","18001","f18001"
"IN_Bartholomew",526.086956521739,"IN","18","005","Bartholomew ","18005","f18005"
"IN_Blackford",2.1304347826087,"IN","18","009","Blackford ","18009","f18009"
"IN_Cass",34.695652173913,"IN","18","017","Cass ","18017","f18017"
"IN_Daviess",9.91304347826087,"IN","18","027","Daviess ","18027","f18027"
"IN_Decatur",1.65217391304348,"IN","18","031","Decatur ","18031","f18031"
"IN_Delaware",1.26086956521739,"IN","18","035","Delaware ","18035","f18035"
"IN_Elkhart",255.260869565217,"IN","18","039","Elkhart ","18039","f18039"
"IN_Fayette",28.2608695652174,"IN","18","041","Fayette ","18041","f18041"
"IN_Fulton",1.1304347826087,"IN","18","049","Fulton ","18049","f18049"
"IN_Gibson",109.565217391304,"IN","18","051","Gibson ","18051","f18051"
"IN_Hamilton",17.3913043478261,"IN","18","057","Hamilton ","18057","f18057"
"IN_Hendricks",20.0869565217391,"IN","18","063","Hendricks ","18063","f18063"
"IN_Henry",8.26086956521739,"IN","18","065","Henry ","18065","f18065"
"IN_Howard",8.69565217391304,"IN","18","067","Howard ","18067","f18067"
"IN_Jackson",1.39130434782609,"IN","18","071","Jackson ","18071","f18071"
"IN_Jasper",1.26086956521739,"IN","18","073","Jasper ","18073","f18073"
"IN_Jefferson",21.7391304347826,"IN","18","077","Jefferson ","18077","f18077"
"IN_Knox",180.608695652174,"IN","18","083","Knox ","18083","f18083"
"IN_Kosciusko",94.4347826086957,"IN","18","085","Kosciusko ","18085","f18085"
"IN_LaGrange",356.04347826087,"IN","18","087","LaGrange ","18087","f18087"
"IN_Lake",546.608695652174,"IN","18","089","Lake ","18089","f18089"
"IN_LaPorte",355.869565217391,"IN","18","091","LaPorte ","18091","f18091"
"IN_Marion",4.34782608695652,"IN","18","097","Marion ","18097","f18097"
"IN_Marshall",33.6086956521739,"IN","18","099","Marshall ","18099","f18099"
"IN_Miami",7.30434782608696,"IN","18","103","Miami ","18103","f18103"
"IN_Morgan",12.6086956521739,"IN","18","109","Morgan ","18109","f18109"
"IN_Newton",35.5217391304348,"IN","18","111","Newton ","18111","f18111"
"IN_Noble",35.9130434782609,"IN","18","113","Noble ","18113","f18113"
"IN_Parke",180.695652173913,"IN","18","121","Parke ","18121","f18121"
"IN_Posey",88.3913043478261,"IN","18","129","Posey ","18129","f18129"
"IN_Pulaski",4.34782608695652,"IN","18","131","Pulaski ","18131","f18131"
"IN_Randolph",24.1304347826087,"IN","18","135","Randolph ","18135","f18135"
"IN_Ripley",7.30434782608696,"IN","18","137","Ripley ","18137","f18137"
"IN_Rush",86.9565217391304,"IN","18","139","Rush ","18139","f18139"
"IN_Shelby",16.7826086956522,"IN","18","145","Shelby ","18145","f18145"
"IN_St. Joseph",217.565217391304,"IN","18","141","St. Joseph ","18141","f18141"
"IN_Starke",2.21739130434783,"IN","18","149","Starke ","18149","f18149"
"IN_Steuben",20.695652173913,"IN","18","151","Steuben ","18151","f18151"
"IN_Sullivan",219.782608695652,"IN","18","153","Sullivan ","18153","f18153"
"IN_Tippecanoe",25.0434782608696,"IN","18","157","Tippecanoe ","18157","f18157"
"IN_Union",48.9130434782609,"IN","18","161","Union ","18161","f18161"
"IN_Vermillion",383.695652173913,"IN","18","165","Vermillion ","18165","f18165"
"IN_Vigo",126.695652173913,"IN","18","167","Vigo ","18167","f18167"
"IN_Wabash",1.73913043478261,"IN","18","169","Wabash ","18169","f18169"
"IN_Warren",44.7826086956522,"IN","18","171","Warren ","18171","f18171"
"IN_Wayne",20.0869565217391,"IN","18","177","Wayne ","18177","f18177"
"IN_White",15.3913043478261,"IN","18","181","White ","18181","f18181"
"KS_Anderson",25.4782608695652,"KS","20","003","Anderson ","20003","f20003"
"KS_Brown",2233,"KS","20","013","Brown ","20013","f20013"
"KS_Clay",151.478260869565,"KS","20","027","Clay ","20027","f20027"
"KS_Comanche",31.7391304347826,"KS","20","033","Comanche ","20033","f20033"
"KS_Decatur",235.130434782609,"KS","20","039","Decatur ","20039","f20039"
"KS_Dickinson",1742.78260869565,"KS","20","041","Dickinson ","20041","f20041"
"KS_Doniphan",79.8260869565217,"KS","20","043","Doniphan ","20043","f20043"
"KS_Edwards",106.782608695652,"KS","20","047","Edwards ","20047","f20047"
"KS_Ellis",9.17391304347826,"KS","20","051","Ellis ","20051","f20051"
"KS_Ellsworth",61.8260869565217,"KS","20","053","Ellsworth ","20053","f20053"
"KS_Finney",1598.91304347826,"KS","20","055","Finney ","20055","f20055"
"KS_Ford",2533.04347826087,"KS","20","057","Ford ","20057","f20057"
"KS_Gove",64.1739130434783,"KS","20","063","Gove ","20063","f20063"
"KS_Graham",18.7826086956522,"KS","20","065","Graham ","20065","f20065"
"KS_Gray",53.5652173913044,"KS","20","069","Gray ","20069","f20069"
"KS_Greeley",37.695652173913,"KS","20","071","Greeley ","20071","f20071"
"KS_Harper",397.173913043478,"KS","20","077","Harper ","20077","f20077"
"KS_Haskell",53.7391304347826,"KS","20","081","Haskell ","20081","f20081"
"KS_Jefferson",116,"KS","20","087","Jefferson ","20087","f20087"
"KS_Jewell",479.913043478261,"KS","20","089","Jewell ","20089","f20089"
"KS_Kingman",764.608695652174,"KS","20","095","Kingman ","20095","f20095"
"KS_Kiowa",406.260869565217,"KS","20","097","Kiowa ","20097","f20097"
"KS_Lane",19.6521739130435,"KS","20","101","Lane ","20101","f20101"
"KS_Lincoln",47.4782608695652,"KS","20","105","Lincoln ","20105","f20105"
"KS_Logan",273.391304347826,"KS","20","109","Logan ","20109","f20109"
"KS_Marion",59.304347826087,"KS","20","115","Marion ","20115","f20115"
"KS_Marshall",52.5652173913044,"KS","20","117","Marshall ","20117","f20117"
"KS_McPherson",27.0434782608696,"KS","20","113","McPherson ","20113","f20113"
"KS_Meade",94.6086956521739,"KS","20","119","Meade ","20119","f20119"
"KS_Mitchell",18.9130434782609,"KS","20","123","Mitchell ","20123","f20123"
"KS_Morris",162.913043478261,"KS","20","127","Morris ","20127","f20127"
"KS_Ness",84.7826086956522,"KS","20","135","Ness ","20135","f20135"
"KS_Norton",137.04347826087,"KS","20","137","Norton ","20137","f20137"
"KS_Osage",21.7391304347826,"KS","20","139","Osage ","20139","f20139"
"KS_Osborne",216.434782608696,"KS","20","141","Osborne ","20141","f20141"
"KS_Ottawa",43.3913043478261,"KS","20","143","Ottawa ","20143","f20143"
"KS_Pawnee",369.565217391304,"KS","20","145","Pawnee ","20145","f20145"
"KS_Phillips",291.04347826087,"KS","20","147","Phillips ","20147","f20147"
"KS_Pottawatomie",311.565217391304,"KS","20","149","Pottawatomie ","20149","f20149"
"KS_Pratt",318.652173913043,"KS","20","151","Pratt ","20151","f20151"
"KS_Rawlins",20.7391304347826,"KS","20","153","Rawlins ","20153","f20153"
"KS_Reno",960.304347826087,"KS","20","155","Reno ","20155","f20155"
"KS_Republic",37.9130434782609,"KS","20","157","Republic ","20157","f20157"
"KS_Rice",338.173913043478,"KS","20","159","Rice ","20159","f20159"
"KS_Riley",118.173913043478,"KS","20","161","Riley ","20161","f20161"
"KS_Rooks",218.521739130435,"KS","20","163","Rooks ","20163","f20163"
"KS_Rush",21.0434782608696,"KS","20","165","Rush ","20165","f20165"
"KS_Russell",103.565217391304,"KS","20","167","Russell ","20167","f20167"
"KS_Scott",1001.21739130435,"KS","20","171","Scott ","20171","f20171"
"KS_Sedgwick",557.173913043478,"KS","20","173","Sedgwick ","20173","f20173"
"KS_Shawnee",62.1739130434783,"KS","20","177","Shawnee ","20177","f20177"
"KS_Sherman",1744.04347826087,"KS","20","181","Sherman ","20181","f20181"
"KS_Smith",43.3478260869565,"KS","20","183","Smith ","20183","f20183"
"KS_Stafford",213.04347826087,"KS","20","185","Stafford ","20185","f20185"
"KS_Sumner",2319.86956521739,"KS","20","191","Sumner ","20191","f20191"
"KS_Thomas",170.695652173913,"KS","20","193","Thomas ","20193","f20193"
"KS_Wabaunsee",45.6521739130435,"KS","20","197","Wabaunsee ","20197","f20197"
"KS_Washington",155.347826086957,"KS","20","201","Washington ","20201","f20201"
"KS_Wichita",322.608695652174,"KS","20","203","Wichita ","20203","f20203"
"KY_Ballard",0,"KY","21","007","Ballard ","21007","f21007"
